Country Code,Country Name,Region,Income Group,GDP_per_capita,Life_expectancy,Population,CO2_per_capita,Unemployment_pct,Literacy_pct,Health_exp_pct_gdp,GDP_growth_pct,Urban_pop_pct,Internet_users_pct,Gini_index,Infant_mortality,Electricity_access_pct,Maternal_mortality
KEN,Kenya,Sub-Saharan Africa,Lower middle income,1594.8349262874858,67.291,49699862.0,0.3104153136661651,9.3129997253418,78.733039855957,4.54957525,4.873936760720525,26.562,17.82710021,40.8,33.6,56.0,510.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1220.4734981190059,71.20000000000002,6198200.0,1.6463953388741326,7.17000007629395,99.2434310913086,6.62528772,4.583638398291285,36.135,38.19903776,27.3,17.9,99.9961013793945,76.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,1384.4231873033593,69.331,16005373.0,0.4377599980092713,1.04799997806549,80.5264892578125,6.08196009,7.099865949682453,22.98,33.99999913,,25.1,49.7706565856934,161.0
KIR,Kiribati,East Asia & Pacific,Lower middle income,1594.2928704342166,66.506,116398.0,0.564368357203643,,,11.85986702,0.32843977711102923,53.262,14.58181818,37.0,42.7,84.9362716674805,90.0
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,17924.06546437665,71.33658536585367,55345.0,4.2989449003516995,,,5.67183165,1.1705628440971765,30.773,80.71019081,,11.6,100.0,
KOR,"Korea, Rep.",East Asia & Pacific,High income,29742.83886134708,82.62682926829268,51466201.0,11.570345409340149,3.79500007629395,,7.33752488,3.0627684624326292,81.503,95.09714917,31.6,2.8,100.0,11.0
KWT,Kuwait,Middle East & North Africa,High income,29040.363709111727,74.811,4136528.0,25.223864426496053,2.07599997520447,96.0564727783203,3.903945,-2.866431053980037,100.0,97.99998933,,6.9,100.0,4.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2457.377413972815,67.021,6858160.0,0.29720088370577386,0.609000027179718,84.6610412597656,2.36087478,6.892747966310182,34.368,25.51043508,36.4,48.6,87.0957717895508,197.0
LBN,Lebanon,Middle East & North Africa,Upper middle income,8808.589447594055,79.758,6082357.0,4.295732552314457,6.16699981689453,91.1841888427734,8.01673185,1.5290970837402966,88.429,78.18077489,31.8,6.7,100.0,15.0
LBR,Liberia,Sub-Saharan Africa,Low income,694.3195828488563,63.006,4731906.0,0.21296766351525953,2.03299999237061,42.9410781860352,9.61511081,2.468626095051235,50.697,7.984479722,35.3,55.9,19.8,725.0
LBY,Libya,Middle East & North Africa,Upper middle income,5978.042925657281,72.11,6374616.0,9.186845393407078,17.2870006561279,86.0999984741211,6.05012753,26.675870116353593,79.817,21.75892062,,10.6,98.5367279052735,9.0
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,9715.194785938003,75.696,178844.0,2.307191320761134,20.8680000305176,,5.30656361,3.817651877884984,18.612,50.81524478,51.2,14.9,97.7609176635742,48.0
LIE,Liechtenstein,Europe & Central Asia,High income,164993.1941620855,82.25853658536586,37922.0,1.1852290785681578,,,,-1.1574818224091388,14.315,98.1,,,100.0,
LKA,Sri Lanka,South Asia,Lower middle income,4073.736519451772,75.485,21444000.0,0.8852474732890556,4.39900016784668,91.895751953125,3.89324108,3.30879963339585,18.384,34.1133479,39.8,7.5,95.5882339477539,30.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,1154.444246173044,54.568,2233339.0,1.1501110316271201,23.5960006713867,76.6352005004883,8.0765782,-2.2862990368690816,27.73,29.78780333,54.2,66.5,29.7333087921143,487.0
LTU,Lithuania,Europe & Central Asia,High income,16809.648256967397,74.67073170731707,2828403.0,4.378090123098507,6.00699996948242,99.8155975341797,6.67158258,4.139948472839777,67.516,77.61525651,37.4,3.4,100.0,10.0
LUX,Luxembourg,Europe & Central Asia,High income,104498.7386710312,82.68536585365854,596336.0,17.362121372809487,5.46999979019165,,6.16378558,1.5456606096945507,90.727,97.82762613,33.8,2.1,100.0,10.0
LVA,Latvia,Europe & Central Asia,High income,15684.558518648953,74.68048780487807,1942248.0,3.4981928816691097,7.85699987411499,99.8958969116211,6.24292955,4.636479621426886,68.075,81.3158617,34.2,3.6,100.0,18.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,80892.82132916873,83.991,622567.0,2.179842759871667,2.02300000190735,96.5384902954102,,9.096103681006994,100.0,83.17408907,,,100.0,
MAF,St. Martin (French part),Latin America & Caribbean,High income,,79.7219512195122,32125.0,,,,,,,,,,71.9702835083008,
MAR,Morocco,Middle East & North Africa,Lower middle income,3022.92792018978,76.059,35739580.0,1.7443799743820183,9.03999996185303,69.4253921508789,5.83767147,4.087506817218383,61.908,61.76221201,39.5,20.0,100.0,121.0
MCO,Monaco,Europe & Central Asia,High income,168010.91489102005,,38695.0,,,,1.74986203,3.213848834192092,100.0,97.05297684,,2.7,100.0,
MDA,Moldova,Europe & Central Asia,Lower middle income,2290.2351496162537,71.718,3549196.0,1.3868291419658716,3.41100001335144,99.138313293457,8.98095464,4.499999899796947,42.557,76.12451989,25.9,13.3,100.0,23.0
MDG,Madagascar,Sub-Saharan Africa,Low income,449.7223818944523,66.312,25570895.0,0.13042132063767728,1.65900003910065,71.5726165771484,6.00363747,4.170794765865125,36.522,9.8,42.6,32.7,22.9,353.0
MDV,Maldives,South Asia,Upper middle income,11151.069206829008,77.649,436330.0,3.269559849796814,6.07499980926514,98.6101226806641,10.61083995,6.91169442938974,39.38,63.18566588,38.4,6.8,100.0,68.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,8910.33317708802,77.305,129163276.0,3.8662411126567364,3.32200002670288,94.859619140625,5.46900124,2.0414696371440613,79.867,63.85224909,43.4,11.5,100.0,38.0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,3843.119883501063,65.23902439024391,53127.0,1.9410185640288857,,98.2650833129883,23.28730052,3.6000000000000085,76.634,38.70116262,,28.0,93.1380462646484,
MKD,North Macedonia,Europe & Central Asia,Upper middle income,5414.614822630946,75.851,2083160.0,3.614938182763376,21.5520000457764,97.8000030517578,6.34410858,0.24052101400167203,57.748,76.31197942,35.6,12.0,100.0,8.0
MLI,Mali,Sub-Saharan Africa,Low income,827.0064008074653,58.456,18541980.0,0.08322866339763978,9.56900024414063,33.0688896179199,3.81961944,5.40000010323682,41.572,12.72064096,33.0,65.8,35.0694999694824,587.0
MLT,Malta,Middle East & North Africa,High income,26748.20740875355,82.45365853658538,467999.0,5.4006139571702745,4.58300018310547,93.3073577880859,9.29531092,6.422489314450857,94.546,80.07137784,29.4,5.6,100.0,9.0
MMR,Myanmar,East Asia & Pacific,Lower middle income,1256.6606748179,66.744,53370609.0,0.4166003616580806,1.56400001049042,75.5512008666992,5.08779798,6.758628824262729,30.322,30.67818311,38.1,38.5,57.0093841552734,178.0
MNE,Montenegro,Europe & Central Asia,Upper middle income,7784.0652899655715,77.271,622373.0,3.556071790418295,15.4619998931885,98.4422073364258,7.64204428,4.70000000000033,66.477,71.27233254,31.9,3.2,100.0,7.0
MNG,Mongolia,East Asia & Pacific,Lower middle income,3717.4733888289593,69.465,3075647.0,7.127326348132765,6.32000017166138,98.2570037841797,3.8090161,5.301668470471782,68.363,23.71426517,32.3,14.8,81.775032043457,44.0
